Query_Hit	Data_base_Hit
lcl|NZ_BDUD01000001.1_cds_WP_109006737.1_3	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006738.1_4	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_063721252.1_5	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006739.1_6	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006740.1_7	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006741.1_8	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006743.1_10	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006744.1_11	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006745.1_12	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006746.1_13	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006747.1_14	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006748.1_15	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373840.1_16	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006750.1_17	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006751.1_18	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006755.1_23	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006756.1_24	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006757.1_25	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006758.1_26	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006759.1_27	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006760.1_28	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006762.1_31	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006763.1_32	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006765.1_35	NC_010631.1
lcl|NZ_BDUD01000001.1_cds_38	NC_010631.1
lcl|NZ_BDUD01000001.1_cds_38	NC_010631.1
lcl|NZ_BDUD01000001.1_cds_38	NC_010631.1
lcl|NZ_BDUD01000001.1_cds_38	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006767.1_39	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006770.1_41	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006773.1_44	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_100899470.1_45	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373842.1_46	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006775.1_48	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109012380.1_52	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006779.1_53	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109012381.1_55	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006782.1_57	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_58	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006783.1_59	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006783.1_59	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373843.1_60	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006786.1_61	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006787.1_64	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006787.1_64	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006787.1_64	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006788.1_65	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006789.1_66	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006790.1_67	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006791.1_68	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006792.1_69	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006793.1_70	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006794.1_71	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006794.1_71	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006796.1_72	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109012383.1_73	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006797.1_74	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006798.1_76	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006799.1_77	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006800.1_78	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006800.1_78	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109012384.1_79	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006801.1_80	NC_010628.1
